pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
166,Graphical chart,-13,,Green,NA,14,Green has been gaining a higher percentage of votes each year,NA,0,It's pretty fair to both teams,NA,0,35 - 44,4 year degree,,,BlueLeft,Green,Title,4,Green,Bar
167,Graphical chart,-5,Green,,-13,NA,"I think that green might win because it has been increasing in consistent increments throughout the years, while blue fluctuates and does not consistently see growth.",20,NA,I think the Blue author likely made this graph to try and visually show that they have consistently won compared to the green party,-2,NA,18 - 24,Some college,,,GreenLeft,Green,Annotation,3,Blue,Bar
168,Graphical chart,-8,,Green,NA,13,every year green keeps going higher and higher while blue stays the say or even drops. ,NA,0,they showed even stats and no favoritisms in text.,NA,NA,18 - 24,Some college,Being able to see and understand statistics on set and graphs.,,BlueLeft,Green,Title,Control,None,Bar
169,Text,14,Green,,-12,NA,their results have been steadily increasing whereas blue fluctuates more,0,NA,it does not seem to be particularly biased towards a specific party,0,NA,18 - 24,Some college,,"I accidentally chose strongly prefer text on the last question when I meant to choose strongly prefer charts, sorry!",GreenLeft,Green,Annotation,4,Green,Bar
170,Graphical chart,-13,Blue,,18,NA,The past 3 years have been more blue,0,NA,I don't think there is any preference bias,NA,NA,18 - 24,Some college,,,GreenLeft,Blue,Title,Control,None,Bar
171,Graphical chart,-12,Blue,,7,NA,"They've won every year, but their margin of victory has decreased. ",-18,NA,The title seems to point out a trend that favors Green. ,0,NA,35 - 44,Professional degree,,,GreenLeft,Blue,Title,2,Green,Bar
172,Graphical chart,-5,,Green,NA,3,"While blue has won the election 3 times, green is seeing a very noticeable increase in support and is already nearly equal to blue in 3 years. Therefore, I believe green will win.",NA,0,The author is merely revealing the statistics behind the parties' supporters without revealing their bias.,NA,0,18 - 24,High school graduate,This survey was about how we would react to information about a topic with details that would influence our decisions.,Thank you for your time!,BlueLeft,Green,Annotation,3,Blue,Bar
173,Graphical chart,-5,,Green,NA,3,it's trending that way,NA,0,not enough info given to make a meaningful guess,NA,0,35 - 44,2 year degree,,,BlueLeft,Green,Title,2,Green,Bar
174,Graphical chart,-13,Blue,,16,NA,Blue has won for the past 3 years.,15,NA,"The title says ""blue party"" in it.",0,NA,25 - 34,Doctorate,If we prefer reading texts or charts.,,GreenLeft,Blue,Title,4,Blue,Bar
175,Graphical chart,-14,Blue,,5,NA,Blue has won every year. The gap has narrowed but blue has continually stayed ahead.,-8,NA,The title is more geared toward green.,0,NA,25 - 34,4 year degree,how information is conveyed,,GreenLeft,Blue,Title,4,Green,Bar
176,Graphical chart,-20,Blue,,10,NA,"While green is catching up, it doesn't seem like it'll have enough steam to pass it for the 4th year, however 5th year is possible.",0,NA,It doesn't represent any data biases,0,NA,18 - 24,High school graduate,,,GreenLeft,Blue,Title,3,Blue,Bar
177,Graphical chart,-11,,Blue,NA,-10,result of voting,NA,-8,percentage of vote,NA,NA,25 - 34,Professional degree,,,BlueLeft,Blue,Annotation,Control,Blue,Bar
178,Graphical chart,-12,,Green,NA,13,Green has been gaining more votes in a shorter time period than Blue.,NA,13,Green is on the left hand side and the graph makes it easy to note that their votes have only been going up.,NA,13,25 - 34,Some college,,,BlueLeft,Green,Annotation,3,Green,Bar
179,Graphical chart,-15,,Blue,NA,-4,"Even though green has gradually been getting a higher percentage, blue still will have the best chance since they have consistently beaten green and gained votes overall.",NA,5,the chart looks like the green in going to keep gradually going up,NA,0,25 - 34,4 year degree,how people interpret data presented to them in different forms (text/visual),,BlueLeft,Blue,Title,2,Green,Bar
180,Graphical chart,-17,,Green,NA,17,"Green is the most consistent in increasing their percentage of votes. Because year 3 was so close, green has a good chance off winning in year 4.",NA,16,The sentence about green party students being increasingly involved on campus is positive. ,NA,0,18 - 24,4 year degree,,,BlueLeft,Green,Annotation,4,Green,Bar
181,Graphical chart,-6,,Blue,NA,-18,Historical trends point towards blue being the more popular party,NA,1,I have no reason to believe the author was not neutral,NA,0,18 - 24,2 year degree,,,BlueLeft,Blue,Title,3,Blue,Bar
182,Graphical chart,0,Blue,,17,NA,Higher on the graphy even though green is catching up,0,NA,Don't see any reason to believe otherwise,0,NA,75 - 84,4 year degree,chart vs graph clarity,,GreenLeft,Blue,Annotation,4,Blue,Bar
183,Graphical chart,-14,Green,,-14,NA,their popularity has been steadily increasing and lowering the gap between them and blue ,0,NA,a skewed graph would not be accurate,0,NA,25 - 34,2 year degree,preferences in information displayed,,GreenLeft,Green,Annotation,4,Green,Bar
184,Graphical chart,-16,Blue,,20,NA,blue has more every other year,1,NA,they are just presenting data,1,NA,18 - 24,,,,GreenLeft,Blue,Title,4,Blue,Bar
185,Graphical chart,-15,Green,,-13,NA,"Blue votes have been steady for 3 years (drop in year 2). Green has been growing at a decent pace, so I assuming they are winning more of the 'other party' votes. ",-15,NA,Chart view of the voting is more favorable for green. A text view is easier to overshadow the growing support for the green. ,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,Control,None,Bar
186,Text,11,,Green,NA,15,They have been getting a bigger percentage of votes each of the preceding 3 years. ,NA,-12,"The headline says Blue has received more votes, but it does NOT say that Green is getting more votes each year. ",NA,0,65 - 74,Professional degree,How we process information. ,,BlueLeft,Green,Title,3,Blue,Bar
187,Graphical chart,-20,,Blue,NA,-13,It looks like blue is always one step ahead but green might win next time.,NA,0,"I was just represented a chart. To me, it did not indicate any party favor over the other.",NA,0,35 - 44,Some college,,,BlueLeft,Blue,Annotation,2,Green,Bar
188,Graphical chart,-14,Green,,0,NA,My prediction of a tie is primarily based on the Green Party's projected increase.,25,NA,I believe Blue is the author of the visualization since he included text stating that Blue had received the majority of votes even though the charts had already done so.,0,NA,25 - 34,Doctorate,,,GreenLeft,Green,Annotation,3,Blue,Bar
189,Text,13,,Green,NA,13,Votes for green have been increasing each year,NA,0,It doesn't appear to favor either side,NA,NA,35 - 44,4 year degree,,,BlueLeft,Green,Title,Control,None,Bar
190,Graphical chart,-9,Green,,-17,NA,"Green's popularity has increased in greater increments than blue's popularity, so I think that it's only a matter of time until they surpass blue.",0,NA,It doesn't seem like the data is reflecting the views of either side in my opinion.,NA,NA,18 - 24,Some college,,,GreenLeft,Green,Annotation,Control,Green,Bar
191,Graphical chart,-20,Green,,-12,NA,Green has steadily increased in percentage of votes over the years and may surpass blue.,1,NA,It seems like a very unbiased graph.,7,NA,18 - 24,Professional degree,,,GreenLeft,Green,Annotation,4,Green,Bar
192,Graphical chart,-17,,Green,NA,11,because it looks like teh green party is gaining votes and will likely win the election.  especially since blue party has not changed,NA,21,because the author most likely supports the green party.  it is putting them in a favorable light,NA,0,25 - 34,4 year degree,,,BlueLeft,Green,Annotation,3,Green,Bar
193,Graphical chart,-13,Blue,,11,NA,"In every past year, blue has always won over the green in the elections. Although the percentage of votes seems to be increasing for green over the years, I still think that blue could win as it has won in the past years.",12,NA,"Maybe this chart is a tactic from the blue party to show the student voters that they have the best chance of winning so, it'll be good to be on their side.",NA,NA,18 - 24,Some college,,,GreenLeft,Blue,Title,Control,None,Bar
194,Graphical chart,-13,,Blue,NA,-12,"The margin is shortening, but it's still always been the case.",NA,-8,If there's any chance of bias it would likely be on the winning side.,NA,-7,25 - 34,Some college,,,BlueLeft,Blue,Annotation,2,Blue,Bar
195,Graphical chart,-18,,Blue,NA,-15,"The blue party has won in each of the past 3 years.  I chose might win because the green party has been increasing their votes each year, but I don't think they will catch the blue party.",NA,0,The information seems like it was pulled from the election results and put on a chart.  There doesn't seem to be anything on the chart that makes it look like the green or blue party created it.,NA,NA,35 - 44,Professional degree,If looking at a chart vs text would influence us on how much we liked charts vs text.,n/a,BlueLeft,Blue,Annotation,Control,Blue,Bar
196,Graphical chart,-13,Blue,,5,NA,Blue was above 50 in year 3 so they are still expanding even though green is growing faster.,0,NA,Nothing seems to indicate that the author has a bias,-11,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Annotation,4,Green,Bar
197,Graphical chart,-25,,Blue,NA,-25,Blue has received more votes than green every year.,NA,0,I think it was just a random neutral party that was used to create the visualization. ,NA,0,25 - 34,2 year degree,,,BlueLeft,Blue,Title,3,Blue,Bar
198,Graphical chart,-10,Blue,,20,NA,They have for the past 3 so follow the trend line,10,NA,"Because they want you to see the trend, what's worked in the past.",5,NA,45 - 54,High school graduate,,,GreenLeft,Blue,Title,2,Green,Bar
199,Text,7,,Green,NA,1,"The green party has consistently gained support over the last 3 years, so it's possible that they could tie or even win in year 4 if the trend continues.",NA,0,"To me, it does not seem that the author conveyed bias in the visualization of the data. It seems straightforward.",NA,-3,45 - 54,4 year degree,,,BlueLeft,Green,Title,3,Blue,Bar
200,Text,8,,Blue,NA,-25,blue is shown to be winning in the other years,NA,1,its best to use neutral party for accurate unbiased results,NA,NA,25 - 34,Some college,,,BlueLeft,Blue,Annotation,Control,Green,Bar
201,Graphical chart,-25,Blue,,13,NA,Clear upward trend,5,NA,"No reason in particular, call it intuition. ",5,NA,25 - 34,Professional degree,,,GreenLeft,Blue,Title,2,Blue,Bar
202,Text,3,Blue,,8,NA,Getting closer every year so it will probably be close,-8,NA,Title highlights growth of green,0,NA,25 - 34,,,,GreenLeft,Blue,Title,3,Green,Bar
203,Graphical chart,0,,Blue,NA,-25,Blue has been winning for three years in a row so they must be doing something right.  They are clearly paying more attention to what the voters want and are trying to implement it.,NA,0,I don't believe either party would knowingly allow a member of the opposite party to publish information concering their own,NA,NA,35 - 44,High school graduate,,,BlueLeft,Blue,Annotation,Control,Green,Bar
204,Graphical chart,-13,Green,,-13,NA,They have had consistent growth,-13,NA,Rather than vote totals its percentages which can be misconstrued,-6,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,3,Green,Bar
205,Graphical chart,-15,,Blue,NA,-12,They have always been above,NA,1,I am just not sure,NA,1,25 - 34,4 year degree,graphs v text,,BlueLeft,Blue,Annotation,2,Blue,Bar
206,Graphical chart,-7,Blue,,11,NA,blue has been in the lead for the recent years,8,NA,because blue is more favorably throughout the elections/ years,-10,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Title,2,Green,Bar
207,Graphical chart,-5,,Green,NA,13,Blue's percentage hovers right around 50% but green's has been increasing every year. That in addition to green's increased involvement in school clubs should give them the edge.,NA,10,The comment about green becoming more involved on campus is almost itself a campaigning tool.,NA,0,25 - 34,Some college,,,BlueLeft,Green,Annotation,4,Green,Bar
208,Text,13,,Blue,NA,-13,they are more involved so more likely to vote,NA,-1,I'm not sure,NA,-1,65 - 74,Professional degree,,,BlueLeft,Blue,Annotation,4,Blue,Bar
209,Text,0,,Green,NA,4,I'm not certain about it but I think that blue might not grow much more but green has trended up.,NA,0,I can't tell any bias,NA,12,18 - 24,Some college,,,BlueLeft,Green,Annotation,4,Blue,Bar
210,Text,0,Blue,,14,NA,Blue has a consistent winning streak,0,NA,The difference isn't exaggerated ,NA,NA,18 - 24,Some college,,,GreenLeft,Blue,Title,Control,None,Bar
211,Graphical chart,-25,Green,,-3,NA,Blue remains relatively stagnant each year while green steadily rises.,-25,NA,Blue would likely not share this information as it shows that blue has not improved substantially over the years.,-25,NA,25 - 34,,,,GreenLeft,Green,Title,2,Blue,Bar
212,Text,10,Green,,-15,NA,"Over the last three years, the preference for the Green Party has steadily gone up.",-7,NA,To show how green is becoming more popular.,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,Control,None,Bar
213,Graphical chart,0,Blue,,4,NA,"Trends show the gap is slowly closing, but I would assume they would edge it out. ",13,NA,"Because the chart says blue is highly involved on campus, but green is really not far behind. ",0,NA,35 - 44,4 year degree,"How we interpret data from charts with more/less information and our impression of them. 
",Thank you for your research.,GreenLeft,Blue,Annotation,4,Blue,Bar
214,Text,8,,Blue,NA,-12,I think so because they have won the past 3 years.,NA,0,I do not believe there is any bias shown.,NA,0,25 - 34,4 year degree,,,BlueLeft,Blue,Title,2,Blue,Bar
215,Graphical chart,-10,,Green,NA,13,I think Green might win because the percentage of votes they've been receiving has a trend of increasing that may continue into Year 4.,NA,5,I think it is most likely a neutral party since statistics like percentage should be unbiased but it can potentially be a green author trying to show the green side as more favorable.,NA,5,18 - 24,4 year degree,,,BlueLeft,Green,Annotation,3,Green,Bar
216,Graphical chart,-2,Blue,,7,NA,green seems to be catching up slowly.,0,NA,Its just numbers so i dont think its been faked.,NA,NA,25 - 34,Some college,,,GreenLeft,Blue,Annotation,Control,Green,Bar
217,Text,1,Green,,-6,NA,"Looking at the chart, looks like blue took the lead, and then green started to catch up.",-2,NA,To show green's growth maybe.,-9,NA,25 - 34,Some college,,,GreenLeft,Green,Title,3,Blue,Bar
218,Graphical chart,-16,,Green,NA,13,They seem to be on an upward trend,NA,13,They added that they are involved in more activities in the green party,NA,1,18 - 24,4 year degree,,,BlueLeft,Green,Annotation,4,Green,Bar
219,Text,25,,Green,NA,13,Green over the years has shown to increase significantly.,NA,25,"Because green is increasing slowly over the years, but most likely will win my year four.",NA,14,25 - 34,High school graduate,,,BlueLeft,Green,Annotation,3,Blue,Bar
220,Graphical chart,-17,Blue,,3,NA,Following the trend I think it will be close but blue is slightly more likely to win,0,NA,I didn't see any bias,NA,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,Control,None,Bar
221,Graphical chart,-25,Blue,,25,NA,Historic precedent. ,0,NA,Because you canâ€™t change statistics or data. ,NA,NA,35 - 44,Doctorate,If different age ranges prefer graphics versus text. ,None. ,GreenLeft,Blue,Title,Control,None,Bar
222,Graphical chart,-13,,Blue,NA,-25,"Because the Blue party had the highest percentage of votes in years 1,2, and 3",NA,0,"Because the graph shows statistical results, does not show bias for either party",NA,0,55 - 64,2 year degree,Evaluating whether information is given and understood via chart or text,,BlueLeft,Blue,Title,2,Green,Bar
223,Graphical chart,-13,Blue,,25,NA,Blue has won consistently the past 3 years.,1,NA,These are numerical results presented. Does not seem to be opinion-based.,1,NA,18 - 24,,graphical vs text presentation of information,,GreenLeft,Blue,Annotation,4,Blue,Bar
224,Graphical chart,-10,,Blue,NA,-13,Even though Blue has won the last 3 years the margin they won by has decreased. Based on these trends I would guess it is more likely for Blue to win. But because the margins have decreased it is difficult to say with any certainty.,NA,0,I don't see anything biased in the chart that would suggest one party made it. The overall chart uses a scale and bars that do not distort the data in any obvious way.,NA,0,35 - 44,4 year degree,,,BlueLeft,Blue,Annotation,3,Blue,Bar
225,Graphical chart,-20,,Blue,NA,-12,Blue has won every election and has gotten the most votes since year 2,NA,1,I don't see any bias,NA,0,25 - 34,Some college,,,BlueLeft,Blue,Title,3,Green,Bar
226,Graphical chart,-5,Blue,,21,NA,Blue has won every year and while green in gaining votes blue has also gained some percentage of voters,0,NA,I do not think this information is biased towards any side in anyway that I know of,0,NA,18 - 24,Some college,,,GreenLeft,Blue,Annotation,3,Blue,Bar
227,Text,2,Green,,-13,NA,Blue has never grown since the first year.  It's went down and then back up but gained no momentum.  Green has steadily grown in percentage,1,NA,"It's a tough one.  I don't see a ton of bias but I don't normally read graphs/charts.  Green seems to have the most momentum but blue looks the strongest by always winning.  I don't know if either gains for excluding the other parties so, by default, I'm going with neutral party",0,NA,55 - 64,Professional degree,Seeing if the preference for graphs or text changed after using them?,"Mine did.  The graphs were clear and easy to refer to.
",GreenLeft,Green,Title,2,Green,Bar
228,Graphical chart,-10,,Blue,NA,-13,Blue has trended as the winner for multiple years.,NA,12,I think they were trying to show that they have received more votes each year and are getting closer to a tie.,NA,-15,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,2,Green,Bar
230,Text,8,Blue,,20,NA,Looking at the data shows that every year blue has won the election ,14,NA,I think so because the title seems a little biased,0,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Title,3,Blue,Bar
231,Graphical chart,-15,,Green,NA,5,They're increasing there votes every year,NA,0,The graph isn't skewed in any way,NA,0,Prefer not to answer,Prefer not to answer,,,BlueLeft,Green,Annotation,3,Green,Bar
232,Graphical chart,-19,,Blue,NA,-4,"Looking at Year 3: Even with a record amount of total votes, the Blue party had more votes than the Green Party. I would reason that there may be fewer undecided voters to make a difference in Year 4.",NA,-11,"Because of the statement ""Blue students highly involved in clubs on campus"".",NA,0,65 - 74,4 year degree,A before and after poll on using graph format information versus using text format information.,This survey proved to me what I already sensed.,BlueLeft,Blue,Annotation,4,Blue,Bar
233,Graphical chart,-24,,Green,NA,13,The gap between green and blue gets shorter each year.,NA,-19,The title of the chart suggests its mostly about blue.,NA,0,18 - 24,Some college,,,BlueLeft,Green,Title,4,Blue,Bar
234,Graphical chart,-13,,Green,NA,18,Year over year green is increasing.,NA,0,Generally when gathering data you let the numbers speak for themselves.,NA,NA,35 - 44,4 year degree,If people prefer charts or a discription,none,BlueLeft,Green,Annotation,Control,Green,Bar
235,Text,11,Green,,-12,NA,Green has been growing every year and looks like it may overtake blue.,4,NA,"I dont really see a clear bias, but does show blue winning. It would be a blue bias if anything.",5,NA,25 - 34,2 year degree,,,GreenLeft,Green,Title,4,Green,Bar
236,Graphical chart,-22,,Green,NA,13,"Because they have been increasing in votes over time, with their margin of loss decreasing as well",NA,0,"Because these are unbiased results, just voting results.",NA,0,25 - 34,Professional degree,,,BlueLeft,Green,Annotation,2,Blue,Bar
237,Graphical chart,-13,,Green,NA,17,"according to the graph the number of votes total has risen, as well as votes for the green party, the law of averages assumes green should have an even chance to win",NA,0,the info does not seemed favored or swayed in any one direction,NA,7,45 - 54,Some college,possibly how to announce auto manufacturing problems to consumers in the future,"more writing than usual, but i prefer this as it gives an honest answer",BlueLeft,Green,Annotation,2,Green,Bar
238,Graphical chart,-15,Blue,,15,NA,"even though the gap is narrowing, the blue party has consistently won the past 3 years",0,NA,no indication of bias in the way that the data is presented,NA,NA,18 - 24,Some college,,,GreenLeft,Blue,Title,Control,None,Bar
239,Graphical chart,-5,Blue,,0,NA,blue usually win but green is making steady gains each year so maybe a tie.,0,NA,parties seem make up,NA,NA,45 - 54,4 year degree,,,GreenLeft,Blue,Annotation,Control,Green,Bar
240,Graphical chart,-7,Blue,,22,NA,They have consistently won every year,12,NA,Because it is biased toward blue party,0,NA,35 - 44,Professional degree,Best way to present information to be appealing,,GreenLeft,Blue,Title,3,Blue,Bar
241,Graphical chart,-12,,Blue,NA,-13,Blue was the winner in the past and will likely win based on the trend. ,NA,12,The verbiage says that Green Party has increased involvement. ,NA,0,35 - 44,Professional degree,,,BlueLeft,Blue,Annotation,4,Green,Bar
242,Graphical chart,-13,,Blue,NA,-8,Blue has a consistently higher vote share.,NA,-4,"It does portray Blue in a good light, but if the facts are simply that, then it's unbiased.",NA,NA,25 - 34,4 year degree,,,BlueLeft,Blue,Title,Control,None,Bar
243,Graphical chart,-8,Blue,,16,NA,Blue always wins based on the previous years,2,NA,The chart just gives the results and no opinions on the parties,NA,NA,18 - 24,High school graduate,,,GreenLeft,Blue,Annotation,Control,Green,Bar
244,Graphical chart,-11,,Blue,NA,-25,Blue has the majority over the past 3 years even though green is closing the gap,NA,-13,The title of the graph makes it seem as though they are flaunting blue winning,NA,0,25 - 34,Professional degree,,,BlueLeft,Blue,Title,2,Blue,Bar
245,Graphical chart,-20,Blue,,13,NA,"Blue consistently wins, but the gap is closing.
",0,NA,"There is nothing ""leaning"" the data to one side or another.",0,NA,45 - 54,Professional degree,,,GreenLeft,Blue,Annotation,4,Green,Bar
246,Graphical chart,-18,Blue,,3,NA,"blue has won the last three years, but green has been slowly coming up every time. I believe this year they might tie or blue might just barely win",15,NA,The title tells me that the author favours blue,0,NA,18 - 24,Some college,,,GreenLeft,Blue,Annotation,2,Blue,Bar
247,Graphical chart,-12,,Blue,NA,-13,"Blue has won,but the last year the margin was close",NA,0,I think it was a neutral party because it was based on past results. ,NA,0,55 - 64,4 year degree,Do people prefer charts or text ,None,BlueLeft,Blue,Title,3,Blue,Bar
248,Graphical chart,-18,Green,,-13,NA,Both at year 3 seem to be rising compared to year before but green has been increasing steadily while blue bounces back and fourth,-12,NA,seems to show more of a decision to show green having greater growth,NA,NA,35 - 44,2 year degree,,,GreenLeft,Green,Annotation,Control,Blue,Bar
249,Graphical chart,-4,Blue,,4,NA,Blue has always had a dominant lead even though green is growing.  I think that the blue party has one more solid year if they really push before green take over.,-17,NA,"I think they are trying to show how likely it is that the green party will win next election, even if I don't think that they will yet.  Also deciding to leave out third party votes seems to favor green party more than blue.",-4,NA,25 - 34,2 year degree,"I am unsure, perhaps how best to convey information to customers",,GreenLeft,Blue,Annotation,2,Blue,Bar
250,Graphical chart,-13,,Green,NA,19,Green has been regularly gaining votes while blue has been stagnant.,NA,-7,It seems bitter. ,NA,0,18 - 24,High school graduate,If people prefer graphs or text to convey information. ,,BlueLeft,Green,Title,3,Green,Bar
251,Text,14,,Green,NA,4,They're showing steady growth.,NA,20,It highlights green's steady growth,NA,5,25 - 34,Some college,Charts,,BlueLeft,Green,Title,4,Green,Bar
252,Graphical chart,-15,Green,,-8,NA,I think people tend to tire of the same party and want a change from their current situation and the green party has been getting closer each year.,0,NA,I'm not really seeing a huge bias in the results. ,NA,NA,25 - 34,High school graduate,,,GreenLeft,Green,Annotation,Control,Green,Bar
253,Graphical chart,-19,,Blue,NA,-20,Blue has won consistently in previous years.,NA,0,I do not believe that an author would be chosen who has a bias for either party. ,NA,0,45 - 54,2 year degree,Preferences for charts over texts to view information.,,BlueLeft,Blue,Title,4,Blue,Bar
254,Graphical chart,-19,,Green,NA,8,"Blue has consistently been winning buy green has been receiving more votes and now may get enough to win, based on their trend",NA,0,It didnt appear biased in any way,NA,1,18 - 24,Some college,How people take information differently,,BlueLeft,Green,Annotation,3,Blue,Bar
255,Graphical chart,-10,,Blue,NA,-25,"It has won every other year, even if only by a little bit",NA,0,It looks like it would be a true illustration,NA,0,35 - 44,High school graduate,n/a,n/a,BlueLeft,Blue,Annotation,3,Blue,Bar
256,Text,24,Blue,,12,NA,Blue has won every single year,1,NA,"I am not sure, but I am not clear as to why the other two parties aren't shown if they also received votes?",4,NA,35 - 44,2 year degree,,After looking at the charts in this survey I changed my response because the charts were easier to understand I like the different colors. ,GreenLeft,Blue,Title,2,Blue,Bar
257,Text,15,,Blue,NA,-22,Year 1-3 blue won,NA,0,would be conflict of interest to have one party publish chart,NA,NA,25 - 34,4 year degree,,,BlueLeft,Blue,Title,Control,None,Bar
258,Graphical chart,-7,Green,,-13,NA,Trend shows that green is growing throughout years while blue remains stagnant.,-6,NA,It could be a green partial author due to the trends.,-6,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,2,Green,Bar
259,Graphical chart,-16,Blue,,2,NA,"Green has been increasing in popularity over time.  But the rate of increase has slowed.  I think blue looks more likely to win again, but it will be close.",-18,NA,The title of the chart seems to be written from a Green perspective.,0,NA,45 - 54,Some college,How our experience with charts will affect our opinion of their usefulness.,,GreenLeft,Blue,Title,2,Green,Bar
260,Text,6,,Green,NA,13,"I think Green could win because they have had significant growth of votes each year, whereas blue has been fluctuating. ",NA,12,"It is just a chart of information, but the author could be in the green party because of the positive statement that green votes have increased yearly.",NA,0,25 - 34,Some college,,,BlueLeft,Green,Annotation,3,Green,Bar
261,Graphical chart,-4,,Blue,NA,-21,They have a lot more votes,NA,-22,Blue is favored,NA,-22,35 - 44,Some college,,,BlueLeft,Blue,Annotation,2,Blue,Bar
262,Graphical chart,-7,,Blue,NA,-8,"Blue has won every election in the past 3 years, but the margin is closing",NA,0,There's no reason to make me believe it's biased,NA,NA,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,Control,Green,Bar
263,Graphical chart,-20,Blue,,12,NA,"While Green's percentage has increased, Blue's percentage has gone above 50%. Assuming Blue will retain that percentage, Green couldn't win even with all the unrepresented votes. Green would have to take away voters directly from Blue to be able to win.",-25,NA,Because the title emphasizes Green's increased participation but doesn't mention that Blue still has the majority participation.,0,NA,55 - 64,4 year degree,If my preference would change about graphs or text after going through the exercise.,"I knew I liked graphs before, and this experiment confirmed it and then some.",GreenLeft,Blue,Title,4,Green,Bar
264,Text,25,Green,,-14,NA,Green is rising farther each year,1,NA,"Someone just showing the statistics of who wins each year, a neutral party",NA,NA,18 - 24,High school graduate,,,GreenLeft,Green,Annotation,Control,Blue,Bar
265,Graphical chart,-19,Green,,-13,NA,The rate at which the green is going up is consistent. Where the blue is hanging steady with the same amount of voters.  ,-6,NA,the side commentary on green voters being involved with clubs and no side commentary on the blue party.,0,NA,45 - 54,4 year degree,,,GreenLeft,Green,Annotation,4,Green,Bar
266,Graphical chart,-10,Blue,,12,NA,Green is not growing fast enough to overtake blue in 1 year.,0,NA,They show data that presents both parties equally.,0,NA,25 - 34,Professional degree,,,GreenLeft,Blue,Title,3,Green,Bar
267,Graphical chart,-25,,Blue,NA,-25,Blue has higher percentages of votes every year.,NA,-15,The visualization is heavily in favor of blue.,NA,-25,25 - 34,4 year degree,,,BlueLeft,Blue,Title,4,Green,Bar
268,Graphical chart,-11,,Blue,NA,-5,"Blue has more voters, but is going up and down so it's not consistent that they're getting more voters each year. Green appears to be gaining voters each year and may surpass blue. ",NA,7,It looks more favorable for green,NA,12,25 - 34,4 year degree,,,BlueLeft,Blue,Title,2,Blue,Bar
269,Graphical chart,-16,,Green,NA,7,The blue party seems to stay around the same in terms of popularity while the green party has slowly been increasing.,NA,13,The fact on the chart is skewed to the Green Party,NA,0,18 - 24,Some college,,,BlueLeft,Green,Annotation,4,Green,Bar
270,Text,0,Blue,,13,NA,blue has the highest votes each year,0,NA,I'm not sure.,0,NA,55 - 64,High school graduate,,,GreenLeft,Blue,Annotation,3,Blue,Bar
271,Text,15,Blue,,25,NA,Blue always has so I would guess it will happen again.,-13,NA,The mention that green is gaining ground each year is a bit influential.,1,NA,35 - 44,4 year degree,,,GreenLeft,Blue,Annotation,3,Green,Bar
272,Graphical chart,-5,,Blue,NA,-8,Green only has a slight increase. Maybe by year 5 or 6 green might take over.,NA,-2,Seems a little favored that blue wins all the time.,NA,0,18 - 24,Some college,,,BlueLeft,Blue,Title,2,Blue,Bar
273,Graphical chart,-19,Green,,-13,NA,Green's number of votes have grown at a faster pace over the last three elections and have the potential to surpass blue in the coming election ,0,NA,The explanation of the information of the graph does not seem to show any bias to either party,NA,NA,45 - 54,4 year degree,Clearly disseminating information through charts vs written word,,GreenLeft,Green,Title,Control,None,Bar
274,Graphical chart,-16,Blue,,15,NA,"Blue has had a decisive win over the last three years. While the gap has closed a bit, the past two years the gap has remained about the same, just more students participated in Year 3 than the previous two. Blue has the edge.",0,NA,"If these are the actual results, then the party who won is who won. There is no bias in facts.",0,NA,35 - 44,Some college,Chart preference,,GreenLeft,Blue,Title,4,Blue,Bar
275,Graphical chart,-11,,Green,NA,13,The trends seems to be that blue is fluctuating while support for green looks to be growing. ,NA,14,It's showing that green is growing rather steadily. ,NA,NA,25 - 34,4 year degree,,,BlueLeft,Green,Annotation,Control,Green,Bar
276,Graphical chart,-8,Blue,,13,NA,"They have shown that blue has won over the past 3 years, although the margin seems to be getting smaller.",-14,NA,"The chart points out that green seems to be gaining more votes over the years, which seem to be the reason for the chart to exist. I would guess it was made by a person who wants to show that green has a chance of winning.",0,NA,35 - 44,4 year degree,To see how reading information in different charts change people's preferences.,,GreenLeft,Blue,Annotation,2,Green,Bar
277,Graphical chart,-7,,Blue,NA,-10,They seem to be consistently high scoring,NA,0,It doesn't seem to be too skewed,NA,NA,25 - 34,4 year degree,,,BlueLeft,Blue,Title,Control,None,Bar
278,Graphical chart,-15,Blue,,13,NA,"Blue has received more votes each year, but the amount by which they have won is decreasing each year.",13,NA,"The statement ""year after year, Blue has won more votes"" is true, but the ""year after year"" phrase seems to intend to divert the viewer's focus from the shrinking margin by which Blue wins.",-5,NA,18 - 24,4 year degree,,,GreenLeft,Blue,Annotation,3,Blue,Bar
